N,Astoria - Ditmars Blvd,Astoria Blvd,30 Av,Broadway,36 Av,39 Av,Queensboro Plaza,Lexington Av/59 St,5 Av/59 St,57 St - 7 Av,49 St,Times Sq - 42 St,34 St - Herald Sq,14 St - Union Sq,Canal St,Atlantic Av - Barclays Ctr,36 St,59 St,8 Av,Fort Hamilton Pkwy,New Utrecht Av,18 Av,20 Av,Bay Pkwy,Kings Hwy,Avenue U,86 St,Coney Island - Stillwell Av
W,Astoria - Ditmars Blvd,Astoria Blvd,30 Av,Broadway,36 Av,39 Av,Queensboro Plaza,Lexington Av/59 St,5 Av/59 St,57 St - 7 Av,49 St,Times Sq - 42 St,34 St - Herald Sq,28 St,23 St,14 St - Union Sq,8 St - NYU,Prince St,Canal St,City Hall,Cortlandt St,Rector St,Whitehall St
R,Bay Ridge - 95 St,86 St,77 St,Bay Ridge Av,59 St,53 St,45 St,36 St,25 St,Prospect Av,9 St,Union St,Atlantic Av - Barclays Ctr,DeKalb Av,Jay St - MetroTech,Court St,Whitehall St,Rector St,Cortlandt St,City Hall,Canal St,Prince St,8 St - NYU,14 St - Union Sq,23 St,28 St,34 St - Herald Sq,Times Sq - 42 St,49 St,57 St - 7 Av,5 Av/59 St,Lexington Av/59 St,Queens Plaza,36 St,Steinway St,46 St,Northern Blvd,65 St,Jackson Hts - Roosevelt Av,Elmhurst Av,Grand Av - Newtown,Woodhaven Blvd,63 Dr - Rego Park,67 Av,Forest Hills - 71 Av
Q,96 St,86 St,72 St,Lexington Av/63 St,57 St - 7 Av,Times Sq - 42 St,34 St - Herald Sq,14 St - Union Sq,Canal St,DeKalb Av,Atlantic Av - Barclays Ctr,7 Av,Prospect Park,Parkside Av,Church Av,Beverley Rd,Cortelyou Rd,Newkirk Plaza,Avenue H,Avenue J,Avenue M,Kings Hwy,Avenue U,Neck Rd,Sheepshead Bay,Brighton Beach,Ocean Pkwy,W 8 St - NY Aquarium,Coney Island - Stillwell Av
B,Bedford Park Blvd,Kingsbridge Rd,Fordham Rd,182-183 Sts,Tremont Av,174-175 Sts,170 St,167 St,161 St - Yankee Stadium,155 St,145 St,135 St,125 St,116 St,Cathedral Pkwy (110 St),103 St,96 St,86 St,81 St - Museum of Natural History,72 St,59 St - Columbus Circle,7 Av,47-50 Sts - Rockefeller Ctr,42 St - Bryant Pk,34 St - Herald Sq,W 4 St,Broadway-Lafayette St,Grand St,DeKalb Av,Atlantic Av - Barclays Ctr,7 Av,Prospect Park,Parkside Av,Church Av,Beverley Rd,Cortelyou Rd,Newkirk Plaza,Avenue H,Avenue J,Avenue M,Kings Hwy,Avenue U,Neck Rd,Sheepshead Bay,Brighton Beach
D,Norwood - 205 St,Bedford Park Blvd,Kingsbridge Rd,Fordham Rd,182-183 Sts,Tremont Av,174-175 Sts,170 St,167 St,161 St - Yankee Stadium,155 St,145 St,125 St,59 St - Columbus Circle,7 Av,47-50 Sts - Rockefeller Ctr,42 St - Bryant Pk,34 St - Herald Sq,W 4 St,Broadway-Lafayette St,Grand St,Atlantic Av - Barclays Ctr,36 St,9 Av,Fort Hamilton Pkwy,50 St,55 St,62 St,71 St,79 St,18 Av,20 Av,Bay Pkwy,25 Av,Bay 50 St,Coney Island - Stillwell Av
F,Coney Island - Stillwell Av,W 8 St - NY Aquarium,Neptune Av,Avenue X,Avenue U,Kings Hwy,Avenue P,Avenue N,Bay Pkwy,Avenue I,18 Av,Ditmas Av,Church Av,Fort Hamilton Pkwy,15 St - Prospect Park,7 Av,4 Av,Smith - 9 Sts,Carroll St,Bergen St,Jay St - MetroTech,York St,East Broadway,Delancey St,2 Av,Broadway-Lafayette St,W 4 St,14 St,23 St,34 St - Herald Sq,42 St - Bryant Pk,47-50 Sts - Rockefeller Ctr,57 St,Lexington Av/63 St,Roosevelt Island,21 St - Queensbridge,Jackson Hts - Roosevelt Av,Forest Hills - 71 Av,75 Av,Kew Gardens - Union Tpke,Briarwood - Van Wyck Blvd,Sutphin Blvd,Parsons Blvd,169 St,Jamaica - 179 St
J,Jamaica Center - Parsons/Archer,Sutphin Blvd - Archer Av - JFK Airport,121 St,111 St,104 St,Woodhaven Blvd,85 St - Forest Pkwy,75 St,Cypress Hills,Crescent St,Norwood Av,Cleveland St,Van Siclen Av,Alabama Av,Broadway Jct,Chauncey St,Halsey St,Gates Av,Kosciuszko St,Myrtle Av,Flushing Av,Lorimer St,Hewes St,Marcy Av,Essex St,Bowery,Canal St,Chambers St,Fulton St,Broad St
Z,Jamaica Center - Parsons/Archer,Sutphin Blvd - Archer Av - JFK Airport,121 St,104 St,Woodhaven Blvd,75 St,Crescent St,Norwood Av,Van Siclen Av,Broadway Jct,Chauncey St,Gates Av,Myrtle Av,Marcy Av,Essex St,Bowery,Canal St,Chambers St,Fulton St,Broad St
M,Middle Village - Metropolitan Av,Fresh Pond Rd,Forest Av,Seneca Av,Myrtle - Wyckoff Avs,Knickerbocker Av,Central Av,Myrtle Av,Flushing Av,Lorimer St,Hewes St,Marcy Av,Essex St,Broadway-Lafayette St,W 4 St,14 St,23 St,34 St - Herald Sq,42 St - Bryant Pk,47-50 Sts - Rockefeller Ctr,5 Av/53 St,Lexington Av/53 St,Court Sq,Queens Plaza,36 St,Steinway St,46 St,Northern Blvd,65 St,Jackson Hts - Roosevelt Av,Elmhurst Av,Grand Av - Newtown,Woodhaven Blvd,63 Dr - Rego Park,67 Av,Forest Hills - 71 Av
