shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5__10____1__IT_1,40.6261557433307,-4.00799305567049,1000001,0
5__10____1__IT_1,40.626068579367,-4.00746607884155,1000002,0.0456112485
5__10____1__IT_1,40.6258849875124,-4.00610563012583,1000003,0.208083889668
5__10____1__IT_1,40.6257742394082,-4.00513731991667,1000004,0.453376600625
5__10____1__IT_1,40.6257244545791,-4.00470362369009,1000005,0.735766614299
5__10____1__IT_1,40.6254979137149,-4.003189014483,1000006,1.148712087551
5__10____1__IT_1,40.6253625576874,-4.00257717740717,1000007,1.615546092908
5__10____1__IT_1,40.6252183377828,-4.00198701146658,1000008,2.13480300916
5__10____1__IT_1,40.6250334580397,-4.0013772145709,1000009,2.70957217748
5__10____1__IT_1,40.6248833411554,-4.00098485673425,1000010,3.321477612802
5__10____1__IT_1,40.6246669780383,-4.00053126279682,1000011,3.978648078347
5__10____1__IT_1,40.6244001196123,-4.00007748607161,1000012,4.68430382553
5__10____1__IT_1,40.624034085603,-3.99959734646097,1000013,5.447409660722
5__10____1__IT_1,40.6237730158164,-3.99927508767525,1000014,6.250301995369
5__10____1__IT_1,40.6234768701263,-3.99896250620726,1000015,7.095382954293
5__10____1__IT_1,40.622822026193,-3.99825996105334,1000016,8.034357669885
5__10____1__IT_1,40.6209602447401,-3.99625602364231,1000017,9.240633179758
5__10____1__IT_1,40.6199013730117,-3.99513081625657,1000018,10.598159306943
5__10____1__IT_1,40.6191623382279,-3.99431488287857,1000019,12.062898446967
5__10____1__IT_1,40.6182518009297,-3.99330963291674,1000020,13.659729696949
5__10____1__IT_1,40.6177821469327,-3.99278129971961,1000021,15.32523224483
5__10____1__IT_1,40.6172711522417,-3.99232136253894,1000022,17.059522013171
5__10____1__IT_1,40.6166431600633,-3.99184690363444,1000023,18.874254516676
5__10____1__IT_1,40.616403329616,-3.99168388343081,1000024,20.718970636096
5__10____1__IT_1,40.6159857016148,-3.99140000853942,1000025,22.615898687897
5__10____1__IT_1,40.615484654654,-3.99111299403403,1000026,24.573517245533
5__10____1__IT_1,40.6144353942707,-3.99064802279991,1000027,26.65407828551
5__10____1__IT_1,40.6134270210836,-3.99019975771625,1000028,28.852829478667
5__10____1__IT_1,40.6126318836361,-3.98986148224666,1000029,31.144373312106
5__10____1__IT_1,40.6116644143615,-3.98942993453789,1000030,33.549353126684
5__10____1__IT_1,40.6107596858439,-3.98896450278189,1000031,36.062211225635
5__10____1__IT_1,40.6099758287618,-3.98844991425281,1000032,38.672369422411
5__10____1__IT_1,40.6097271799069,-3.98827079839581,1000033,41.3140165667
5__10____1__IT_1,40.6092831017279,-3.98793720491566,1000034,44.01246876026
5__10____1__IT_1,40.6074451838782,-3.98651416283732,1000035,46.947824737249
5__10____1__IT_1,40.6070930532841,-3.98623354895095,1000036,49.928916182435
5__10____1__IT_1,40.6066824343083,-3.98595376990135,1000037,52.961370722246
5__10____1__IT_1,40.6063072400076,-3.98573703113656,1000038,56.039334170339
5__10____1__IT_1,40.6059771334377,-3.98560961669987,1000039,59.155495943062
5__10____1__IT_1,40.6053196927918,-3.98535973647935,1000040,62.347641622585
5__10____1__IT_1,40.6043247484243,-3.98504598434071,1000041,65.653382787126
5__10____1__IT_1,40.6031388038465,-3.98471325758867,1000042,69.093753556904
5__10____1__IT_1,40.6025855033791,-3.98452882693692,1000043,72.597498228991
5__10____1__IT_1,40.6022138444987,-3.98430682407857,1000044,76.146576041232
5__10____1__IT_1,40.6019151907056,-3.9841254914561,1000045,79.732185918916
5__10____1__IT_1,40.6016206273129,-3.98386348794773,1000046,83.35730199565
5__10____1__IT_1,40.6013073900407,-3.98354659656037,1000047,87.026328217806
5__10____1__IT_1,40.6008530953,-3.9830209923835,1000048,90.762594661248
5__10____1__IT_1,40.6005816516592,-3.98261204982313,1000049,94.54474506707
5__10____1__IT_1,40.6003779580792,-3.98223084874907,1000050,98.366287208742
5__10____1__IT_1,40.6001759349446,-3.9818214932438,1000051,102.229093380734
5__10____1__IT_1,40.6001759349446,-3.9818214932438,2000001,102.229093380734
5__10____1__IT_1,40.6000335613439,-3.98149321966198,2000002,102.261052007608
5__10____1__IT_1,40.5998540547088,-3.9809661159337,2000003,102.341860826547
5__10____1__IT_1,40.5996573601978,-3.98032254512563,2000004,102.481340209559
5__10____1__IT_1,40.5995273579854,-3.97984981146034,2000005,102.663343994476
5__10____1__IT_1,40.5991988313121,-3.97867985025814,2000006,102.950849109107
5__10____1__IT_1,40.5990817927754,-3.97828478891039,2000007,103.274218913438
5__10____1__IT_1,40.5989204394952,-3.97775796809083,2000008,103.645630418593
5__10____1__IT_1,40.5987743005413,-3.97731182509682,2000009,104.058131207551
5__10____1__IT_1,40.5986162513369,-3.97693107380576,2000010,104.507317526521
5__10____1__IT_1,40.5983235422101,-3.97635764806099,2000011,105.014900735029
5__10____1__IT_1,40.5978616532581,-3.97564469301266,2000012,105.601658564103
5__10____1__IT_1,40.5973097672682,-3.97507287439317,2000013,106.266484792966
5__10____1__IT_1,40.597041330938,-3.97486825203866,2000014,106.965775606215
5__10____1__IT_1,40.5967496323081,-3.97464833259168,2000015,107.702414590928
5__10____1__IT_1,40.5963653326233,-3.97441149515862,2000016,108.486187909223
5__10____1__IT_1,40.5961203364012,-3.97427107400232,2000017,109.299640900815
5__10____1__IT_1,40.5958261510265,-3.97414131376037,2000018,110.147548205492
5__10____1__IT_1,40.5954449141619,-3.97401450209569,2000019,111.039116230934
5__10____1__IT_1,40.5947647455037,-3.97380451596689,2000020,112.008253121473
5__10____1__IT_1,40.5943833428678,-3.97368203367681,2000021,113.020980041505
5__10____1__IT_1,40.5938346069284,-3.97349069017598,2000022,114.09673790619
5__10____1__IT_1,40.5934098537236,-3.97336173769313,2000023,115.220894255482
5__10____1__IT_1,40.5928312270727,-3.97311139547011,2000024,116.41268778749
5__10____1__IT_1,40.59263034865,-3.97299626253088,2000025,117.628816537844
5__10____1__IT_1,40.5924083037201,-3.97285541323223,2000026,118.872325254425
5__10____1__IT_1,40.5922384229193,-3.97270937305717,2000027,120.138381307574
5__10____1__IT_1,40.5920531080089,-3.9725452820168,2000028,121.429257352995
5__10____1__IT_1,40.5914169558151,-3.97192625578289,2000029,122.808061659419
5__10____1__IT_1,40.5911682438585,-3.97158526275695,2000030,124.226803601507
5__10____1__IT_1,40.590753048501,-3.97095048923444,2000031,125.716327466657
5__10____1__IT_1,40.5901234715756,-3.96970355900733,2000032,127.332421047574
5__10____1__IT_1,40.5884113309771,-3.96604045796668,2000033,129.312144404977
5__10____1__IT_1,40.5876594247652,-3.96456635950948,2000034,131.441969238571
5__10____1__IT_1,40.5872034693085,-3.9639863100562,2000035,133.642305036532
5__10____1__IT_1,40.5868665072282,-3.96361710494902,2000036,135.891380605628
5__10____1__IT_1,40.5863111423351,-3.96317729145414,2000037,138.212472729656
5__10____1__IT_1,40.5858361522151,-3.9628666174051,2000038,140.592485699391
5__10____1__IT_1,40.5854195174149,-3.96264472684783,2000039,143.022416628096
5__10____1__IT_1,40.5850356934931,-3.96251107052334,2000040,145.496432037261
5__10____1__IT_1,40.5842684115167,-3.96241300885771,2000041,148.056027210786
5__10____1__IT_1,40.5833842743274,-3.96235253472838,2000042,150.713904276352
5__10____1__IT_1,40.5824553522428,-3.96226813856216,2000043,153.475148545196
5__10____1__IT_1,40.5817135622783,-3.96223401922058,2000044,156.318789897423
5__10____1__IT_1,40.5803588332949,-3.961961373335,2000045,159.314580514761
5__10____1__IT_1,40.5792633238429,-3.961563675031,2000046,162.436556705253
